survey,item,variable,values,question_text,response_categories
pewrel2015_ee,bearchild4,q16d,c(1:4),Women have a responsibility to society to bear children,1 Completely Agree / 4 Completely Disagree
wvs_combo,beat10,f199,c(10:1),Justifiable: For a man to beat his wife,1 Never justifiable / 10 Always justifiable
wvs7,beat10,q189,c(10:1),Justifiable: For a man to beat his wife,1 Never justifiable / 10 Always justifiable
usgss,biochild4,fekids1,c(1:4),Women are biologically better-suited to care for children. How important do you think this reason is for explaining why women are more likely to take care of children ,1 Very important / 4 Not at all important
evs2017,busiexecutive4,v78,c(1:4),Men make better business executives than than women,
wvs_combo,busiexecutive4,d078,c(1:4),"On the whole, men make better business executives than women do.",1 Agree strongly / 4 Strongly disagree
wvs7,busiexecutive4,q31,c(1:4),"On the whole, men make better business executives than women do.",1 Agree strongly / 4 Strongly disagree
eb443,businessleader3,v414,"c(1,3,2)","Here is a list of occupations and responsibilities that men or women can have. For each of them, please indicate whether you think that they should be more for men, more for women, or for either a man or a woman. Chief Executive",1 More for men / 2 More for women / 3 For either a man or a woman
eb761,businessleader4,qe2,c(4:1),"Given equal competence, women should be equally represented in positions of leadership in companies.",1 Totally agree/ 4 Totally disagree
issp1985,businessopp5,v37,c(5:1),The government should increase opportunities for women in business and industry,1 Strongly in favour of / 5 Strongly against
issp2002,child5,v13,c(5:1),Men ought to do a larger share of childcare than they do now.,1 Strongly agree / 5 Strongly disagree
allbus,childbenwork4,fr05a,c(4:1),A child actually benefits from his or her mother having a job rather than just concentrating on the home.,"1 completely agree, 2 tend to agree, 3 tend to disagree, or 4 completely disagree"
allbus,childbenwork4,fr05b,c(4:1),A child actually benefits from his or her mother having a job rather than just concentrating on the home,"1 completely agree, 2 tend to agree, 3 tend to disagree, or 4 completely disagree"
eb722,childcareer4,v232,c(1:4),A mother must put looking after her young child ahead of her career ,1 Totally agree/ 4 Totally disagree
evs_combo,childfull2,d019,c(1:0),Do you think that a woman has to have children in order to be fulfilled or is this not necessary?,0 Not necessary / 1 needs children
wvs_combo,childfull2,d019,c(1:0),Do you think that a woman has to have children in order to be fulfilled or is this not necessary?,0 Not necessary / 1 needs children
wvs4_swe,childfull2,v110,c(1:0),Do you think that a woman has to have children in order to be fulfilled or is this not necessary?,0 Not necessary / 1 needs children
lb2006,chrespon3,p88n,"c(1,3,2)",Housework and childcare should be the responsibility of the mother or the father or be shared equally by both? (2006 LB: p88n),1 Mother / 2 Father / 3 Both
evs_combo,chrespon4,d064_01,c(4:1),Men should take as much responsibility as women for the home and children,1 agree strongly / 4 disagree strongly
ess2,chrespon5,mnrsphm,c(5:1),Men should take as much responsibility as women for the home and children,1 Agree Strongly / 5 Disagree Strongly
arabb4,decision4,q6018,c(1:4),Husbands should have final say in all decisions concerning the family.,1 Strongly Agree / 4 Strongly Disagree
pew2002,decveil4,q53b,c(4:1),Women should have the right to decide if they wear a veil.,1 Completely Agree / 4 Completely Disagree
pew2007,decveil4,q74a,c(4:1),Women should have the right to decide if they wear a veil.,1 Completely Agree / 4 Completely Disagree
pew2008,decveil4,q55aa,c(4:1),Women should have the right to decide if they wear a veil.,1 Completely Agree / 4 Completely Disagree
pew2010,decveil4,q69a,c(4:1),Women should have the right to decide if they wear a veil.,1 Completely Agree / 4 Completely Disagree
arabb2,divorce4a,q60114,c(4:1),Women and men should have equal rights in making the decision to divorce.,1 Strongly Agree / 4 Strongly Disagree
usgss,earn2,fework,c(2:1),Do you approve or disapprove of a married woman earning money in business or industry if she has a husband capable of supporting her?,1 Approve / 2 Disapprove
jgss,earn4,q4wwjbia,c(1:4),"If the husband has enough income, the wife should not have a job","1 Agree / 2 If anything, I agree / 3 If anything, I disagree / 4 Disagree"
jgss2005,earn4,q4wwjbia,c(1:4),"If the husband has enough income, the wife should not have a job","1 Agree / 2 If anything, I agree / 3 If anything, I disagree / 4 Disagree"
jgss2006,earn4,q4wwjbia,c(1:4),"If the husband has enough income, the wife should not have a job","1 Agree / 2 If anything, I agree / 3 If anything, I disagree / 4 Disagree"
jgss2008,earn4,q4wwjbia,c(1:4),"If the husband has enough income, the wife should not have a job","1 Agree / 2 If anything, I agree / 3 If anything, I disagree / 4 Disagree"
jgss2010,earn4,q4wwjbia,c(1:4),"If the husband has enough income, the wife should not have a job","1 Agree / 2 If anything, I agree / 3 If anything, I disagree / 4 Disagree"
jgss2012,earn4,q4wwjbia,c(1:4),"If the husband has enough income, the wife should not have a job","1 Agree / 2 If anything, I agree / 3 If anything, I disagree / 4 Disagree"
nsss_combo,earn5,wearnok,c(5:1),I approve of a married woman earning money in business or industry even if she has a husband capable of supporting her,1 Agree Strongly / 5 Disagree Strongly
nsss1989,earn5,wearnok,c(5:1),I approve of a married woman earning money in business or industry even if she has a husband capable of supporting her,1 Agree Strongly / 5 Disagree Strongly
nsss1993,earn5,wearnok3,c(5:1),I approve of a married woman earning money in business or industry even if she has a husband capable of supporting her,1 Agree Strongly / 5 Disagree Strongly
arabb1,education4,q5054,c(1:4),A university education is more important for a boy than a girl,1 Strongly Agree / 4 Strongly Disagree
arabb2,education4,q60104,c(1:4),University education for males is more important than university education for females.,1 Strongly Agree / 4 Strongly Disagree
arabb3,education4,q6014,c(1:4),University education for males is more important than university education for females.,1 Strongly Agree / 4 Strongly Disagree
arabb4,education4,q6013,c(1:4),University education for males is more important than university education for females.,1 Strongly Agree / 4 Strongly Disagree
evs_combo,education4,d060,c(1:4),A university education is more important for a boy than for a girl,1 agree strongly / 4  strongly disagree
evs2017,education4,v77,c(1:4),A university education is more important for a boy than for a girl,1 agree strongly / 4  strongly disagree
wvs_combo,education4,d060,c(1:4),A university education is more important for a boy than for a girl,1 Agree strongly / 4 Strongly disagree
wvs4_swe,education4,v119,c(1:4),A university education is more important for a boy than for a girl,1 Agree strongly / 4 Strongly disagree
wvs7,education4,q30,c(1:4),A university education is more important for a boy than for a girl,1 Agree strongly / 4 Strongly disagree
tcmeg2004,education5,m710d,c(1:5),A university education is more important for a boy than a girl,1 Strongly Agree / 5 Strongly Disagree
wvs_combo,educimp5,d071,c(5:1),"In your opinion, how important are each of the following traits in a woman?. Being educated",1 Very important / 5 No important at all
wvs4_swe,educimp5,iv85,c(5:1),"In your opinion, how important are each of the following traits in a woman?. Being educated",1 Very important / 5 No important at all
usgss,emopoli2,fepol,c(1:2),Most men are better suited emotionally for politics than are most women.,1 Agree / 2 Disagree
arabb1,equaljob4,q5055,c(4:1),Men and women should have equal job opportunities and wages,1 Strongly Agree / 4 Strongly Disagree
tcmeg2004,equaljob5,m710e,c(5:1),Men and women should have equal job opportunities and wages,1 Strongly Agree / 5 Strongly Disagree
pew2010,equalright2,q80,c(2:1),"On a different subject, do you think women should have equal rights with men, or shouldn’t they?",1 Should / 2 Should not
pew2012,equalright2,q85,c(2:1),"On a different subject, do you think women should have equal rights with men, or shouldn’t they?",1 Should / 2 Should not
arabb3,equalright4a,q812a1,c(4:1),Insuring equal rights between men and women,1 Very Important / 4 Not Important at all
pew2015,equalright4b,q56c,c(4:1),"For each of the following things, how important is it to have this in our country? women have the same rights as men",1 Very Important / 4 Not Important at all
pew2016,equalright4b,q33c,c(4:1),"For each of the following things, how important is it to have this in our country? women have the same rights as men",1 Very Important / 4 Not Important at all
allbus,equalroles4,fr08,c(4:1),The best way to organise family and work life is for both partners to work part-time and to look after the home and children equally ,1 Completely Agree / 4 Completely Disagree
arabb1,equalwage4,q5056,c(4:1),Men and women should receive equal wages and salaries,1 Strongly Agree / 4 Strongly Disagree
eb874,equalwage4a,qc13,c(1:4),"In some circumstances, a woman is paid less than a male colleague for the same job. Do you think this is acceptable? ",1 Totally acceptable / 2 Somewhat acceptable / 3 Somewhat unacceptable / 4 Totally unacceptable
arabb2,equalwork4,q60105,c(4:1),Men and women should have equal work opportunities.,1 Strongly Agree / 4 Strongly Disagree
ess2,family5a,wmcpwrk,c(1:5),A woman should be prepared to cut down on her paid work for the sake of her family,1 Agree Strongly / 5 Disagree Strongly
ess4,family5a,wmcpwrk,c(1:5),A woman should be prepared to cut down on her paid work for the sake of her family,1 Agree Strongly / 5 Disagree Strongly
ess5,family5a,wmcpwrk,c(1:5),A woman should be prepared to cut down on her paid work for the sake of her family,1 Agree Strongly / 5 Disagree Strongly
tcmeg2004,family5b,m710i,c(1:5),A woman should cease to work outside the home after marriage in order to devote full time to home and family,1 Strongly Agree / 5 Strongly Disagree
eb874,familywoman4,qc4_1,c(1:4),The most important role of a woman is to take care of her home and family ,1 Totally agree/ 4 Totally disagree
eb653,familywork4,v648,c(1:4),All in all family life suffers when the mother has a full time job ,1 Totally agree/ 4 Totally disagree
eb824,familywork4,qb1_1,c(1:4),All in all family life suffers when the mother has a full time job ,1 Totally agree/ 4 Totally disagree
eb653,familywork4b,v651,c(4:1),Family life often suffers when men concentrate too much on their work ,1 Totally agree/ 4 Totally disagree
issp1988,familywork5a,v6,c(1:5),"All in all, family life suffers when the woman has a full-time job",1 Strongly agree / 5 Strongly disagree
issp1991,familywork5a,v17,c(1:5),"All in all, family life suffers when the woman has a full-time job",1 Strongly agree / 5 Strongly disagree
issp1994,familywork5a,v6,c(1:5),"All in all, family life suffers when the woman has a full-time job",1 Strongly agree / 5 Strongly disagree
issp1998,familywork5a,v13,c(1:5),"All in all, family life suffers when the woman has a full-time job",1 Strongly agree / 5 Strongly disagree
issp2002,familywork5a,v6,c(1:5),"All in all, family life suffers when the woman has a full-time job",1 Strongly agree / 5 Strongly disagree
kgss,familywork5a,famsuffr,c(1:5),family life suffers when the woman takes a full-time job,1 Strongly Agree / 5 Strongly Disagree
nsss_combo,familywork5a,famsufft,c(1:5),"All in all, family life suffers when the woman has a full-time job.",1 Strongly Agree / 5 Strongly Disagree
nsss1989,familywork5a,famsufft,c(1:5),"All in all, family life suffers when the woman has a full-time job.",1 Strongly Agree / 5 Strongly Disagree
