Survey,Variable,Question Text,Type of Q,Response Categories,Notes
WVS,a075,"which, if any, do you belong to? Women's groups",Participation to women's group,0 Not mentioned / 1 Belong,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,a092,"if any, are you currently doing unpaid voluntary work? Women's groups",Participation to women's group,0 Not mentioned / 1 Belong,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,c001,"Do you agree or disagree with the following statements? When jobs are scarce, men should have more right to a job than women",Job vs. gender,1 Agree / 2 Disagree / 3 Neither,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d019,Do you think that a woman has to have children in order to be fulfilled or is this not necessary?,women have to have children,0 Not necessary / 1 needs children,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d023,"If a woman wants to have a child as a single parent but she doesn't want to have a stable relationship with a man, do you approve or disapprove?",Approval of single mom,0 Disapprove / 1 Approve / 2 Depends,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d056,A working mother can establish just as warm and secure a relationship with her children as a mother who does not work,Approval of working mom,1 Agree strongly / 4 Strongly disagree,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d057,Being a housewife is just as fulfilling as working for pay,Respect of housewives,1 Agree strongly / 4 Strongly disagree,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d058,Both the husband and wife should contribute to household income,Have to share pants,1 Agree strongly / 4 Strongly disagree,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d059,"On the whole, men make better political leaders than women do","Politics, for men!",1 Agree strongly / 4 Strongly disagree,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d060,A university education is more important for a boy than for a girl,education vs. gender,1 Agree strongly / 4 Strongly disagree,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d061,A pre-school child is likely to suffer if his or her mother works,Approval of working mom,1 Agree strongly / 4 Strongly disagree,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d062,A job is alright but what most women really want is a home and children,Women's job is for family,1 Agree strongly / 4 Strongly disagree,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d063,Having a job is the best way for a woman to be an independent person,Independence for women: job,1 Agree strongly / 4 Strongly disagree,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d066,"If a woman earns more money than her husband, it's almost certain to cause problems.",Have to share pants,1 Agree strongly / 4 Strongly disagree,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d067,"In your opinion, how important are each of the following traits in a woman? Wearing a veil in public places",Women's traits,1 Very important / 5 No important at all,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d068,"In your opinion, how important are each of the following traits in a woman? Being a good mother",Women's traits,1 Very important / 5 No important at all,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d069,"In your opinion, how important are each of the following traits in a woman?. Being a good wife",Women's traits,1 Very important / 5 No important at all,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d070,"In your opinion, how important are each of the following traits in a woman?. Being religious",Women's traits,1 Very important / 5 No important at all,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d071,"In your opinion, how important are each of the following traits in a woman?. Being educated",Women's traits,1 Very important / 5 No important at all,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d072,"In your opinion, how important are each of the following traits in a woman?. Independence",Women's traits,1 Very important / 5 No important at all,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d073,"In your opinion, how important are each of the following traits in a woman?. Having work outside home",Women's traits,1 Very important / 5 No important at all,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d074,"In your opinion, how important are each of the following traits in a woman?. Protect her family",Women's traits,1 Very important / 5 No important at all,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d075,"In your opinion, how important are each of the following traits in a woman?. Sociability",Women's traits,1 Very important / 5 No important at all,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d076,It is acceptable for a man to have more than one wife,Approval of polygyny,1 Agree strongly / 4 Strongly disagree,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
