survey,item,variable,values,Woo,Allemang
aes1993,jobpref5,e6pref,c(5:1),1,1
pewrel2015_ee,bearchild4,q16d,c(1:4),2,2
wvs_combo,beat10,f199,c(10:1),4,4
wvs7,beat10,q189,c(10:1),4,4
tcmeg2004,beat5,m710q,c(1:5),4,4
usgss,biochild4,fekids1,c(1:4),2,2
wvs_combo,busiexecutive4,d078,c(1:4),1,1
wvs7,busiexecutive4,q31,c(1:4),1,1
tcmeg2004,busiexecutive5,m710m,c(1:5),1,1
issp1985,businessopp5,v37,c(5:1),1,1
nsss_combo,career5,wcarbad,c(1:5),3,3
nsss1989,career5,wcarbad,c(1:5),3,3
nsss1993,career5,wcarbad3,c(1:5),3,3
issp2002,child5,v13,c(5:1),3,3
allbus,childbenwork4,fr05a,c(4:1),3,3
allbus,childbenwork4,fr05b,c(4:1),3,3
evs_combo,childfull2,d019,c(1:0),3,3
wvs_combo,childfull2,d019,c(1:0),3,3
wvs4_swe,childfull2,v110,c(1:0),3,3
lb2006,chrespon3,p88n,c(1 3 2),2,2
evs_combo,chrespon4,d064_01,c(4:1),2,2
arabb4,decision4,q6018,c(1:4),,4
pew2002,decveil4,q53b,c(4:1),4,4
pew2007,decveil4,q74a,c(4:1),4,4
pew2008,decveil4,q55aa,c(4:1),4,4
pew2010,decveil4,q69a,c(4:1),4,4
arabb2,divorce4a,q60114,c(4:1),,4
arabb2,divorce4b,q60116,c(1:4),,4
tcmeg2004,divorce5,m710p,c(5:1),,4
usgss,earn2,fework,c(2:1),3,3
nsss_combo,earn5,wearnok,c(5:1),3,3
nsss1989,earn5,wearnok,c(5:1),3,3
nsss1993,earn5,wearnok3,c(5:1),3,3
arabb1,education4,q5054,c(1:4),1,1
arabb2,education4,q60104,c(1:4),1,1
arabb3,education4,q6014,c(1:4),1,1
arabb4,education4,q6013,c(1:4),1,1
evs_combo,education4,d060,c(1:4),1,1
wvs_combo,education4,d060,c(1:4),1,1
wvs4_swe,education4,v119,c(1:4),1,1
wvs7,education4,q30,c(1:4),1,1
tcmeg2004,education5,m710d,c(1:5),1,1
wvs_combo,educimp5,d071,c(5:1),1,1
wvs4_swe,educimp5,iv85,c(5:1),1,1
usgss,emopoli2,fepol,c(1:2),1,1
usgss,emopoli3,fepoly,c(1,3,2),1,1
usgss,equalamend4,eratell,c(4:1),1,1
arabb1,equaljob4,q5055,c(4:1),1,1
tcmeg2004,equaljob5,m710e,c(5:1),1,1
pew2010,equalright2,q80,c(2:1),1,1
pew2012,equalright2,q85,c(2:1),1,1
arabb3,equalright4a,q812a1,c(4:1),1,1
pew2015,equalright4b,q56c,c(4:1),1,1
pew2016,equalright4b,q33c,c(4:1),1,1
allbus,equalroles4,fr08,c(4:1),2,2
arabb1,equalwage4,q5056,c(4:1),1,1
tcmeg2004,equalwage5,m710f,c(5:1),1,1
arabb2,equalwork4,q60105,c(4:1),1,1
nsss_combo,family5a,wdevfam,c(1:5),3,2
nsss1989,family5a,wdevfam,c(1:5),3,2
nsss1993,family5a,wdevfa3,c(1:5),3,2
tcmeg2004,family5b,m710i,c(1:5),3,3
issp1988,familywork5a,v6,c(1:5),3,3
issp1991,familywork5a,v17,c(1:5),3,3
issp1994,familywork5a,v6,c(1:5),3,3
issp1998,familywork5a,v13,c(1:5),3,3
issp2002,familywork5a,v6,c(1:5),3,3
kgss,familywork5a,famsuffr,c(1:5),3,3
usgss,familywork5a,famsuffr,c(1:5),3,3
