3b - Labour force participation rate for persons aged 15+  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Labour force participation rate for persons aged 15+  by sex,Southern Asia,4,Afghanistan,2008,Female,43.79,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,4,Afghanistan,2008,Male,82.04,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,4,Afghanistan,2008,Both sexes,63.27,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,4,Afghanistan,2012,Female,16.01,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,4,Afghanistan,2012,Male,77.05,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,4,Afghanistan,2012,Both sexes,46.96,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2003,Female,26.07,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2003,Male,87.39,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2003,Both sexes,57.3,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2000,Female,55.87,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2000,Male,87.22,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2000,Both sexes,72.06,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2010,Female,35.49,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2010,Male,81.62,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2010,Both sexes,58.58,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,1996,Female,55.86,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,1996,Male,88.76,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,1996,Both sexes,72.56,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2006,Female,28.99,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2006,Male,86.19,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2006,Both sexes,58.07,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2013,Female,33.56,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2013,Male,81.77,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2013,Both sexes,57.18,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2016,Female,33.19,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2016,Male,79.4,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2016,Both sexes,56.09,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2017,Female,36.35,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2017,Male,80.67,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2017,Both sexes,58.33,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2005,Female,47.7,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2005,Male,71.47,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2005,Both sexes,60.44,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2009,Female,66.04,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2009,Male,73.58,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2009,Both sexes,69.7,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2010,Female,63.87,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2010,Male,72.81,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2010,Both sexes,68.15,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2006,Female,55.8,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Average of 2 monthly points
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2006,Male,72.2,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Average of 2 monthly points
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2006,Both sexes,61.8,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Average of 2 monthly points
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2011,Female,62.84,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
