country,year,item,r,n,survey,cc_rank
United States,1972,earn2,1,545.9942178442474,usgss,813
United States,1972,earn2,2,1030.9890816802547,usgss,813
United States,1972,president2,1,403.9957216283442,usgss,813
United States,1972,president2,2,1128.9880438574273,usgss,813
United States,1974,earn2,1,446.99526625710365,usgss,813
United States,1974,earn2,2,1001.9893887910913,usgss,813
United States,1974,emopoli2,1,327.9965264705369,usgss,813
United States,1974,emopoli2,2,369.99608168932514,usgss,813
United States,1974,emopoli3,1,237.99747957313346,usgss,813
United States,1974,emopoli3,2,30.99967170910562,usgss,813
United States,1974,emopoli3,3,449.99523448701706,usgss,813
United States,1974,homecountry2,1,508.99460967531485,usgss,813
United States,1974,homecountry2,2,921.9902359933994,usgss,813
United States,1974,president2,1,282.99700302183516,usgss,813
United States,1974,president2,2,1149.9878214668215,usgss,813
United States,1975,earn2,1,422.99552041779606,usgss,813
United States,1975,earn2,2,1038.9889969600238,usgss,813
United States,1975,emopoli2,1,709.9924810795159,usgss,813
United States,1975,emopoli2,2,718.9923857692562,usgss,813
United States,1975,homecountry2,1,514.9945461351417,usgss,813
United States,1975,homecountry2,2,930.9901406831398,usgss,813
United States,1975,president2,1,281.997013611864,usgss,813
United States,1975,president2,2,1157.9877367465906,usgss,813
United States,1977,earn2,1,506.9946308553726,usgss,813
United States,1977,earn2,2,998.9894205611779,usgss,813
United States,1977,emopoli2,1,716.9924069493138,usgss,813
United States,1977,emopoli2,2,736.9921951487369,usgss,813
United States,1977,help4,1,204.99782904408556,usgss,813
United States,1977,help4,2,635.9932647416508,usgss,813
United States,1977,help4,3,533.9943449245936,usgss,813
United States,1977,help4,4,96.99897276720145,usgss,813
United States,1977,homecountry2,1,568.9939742735838,usgss,813
United States,1977,homecountry2,2,920.9902465834283,usgss,813
United States,1977,limjob2,1,952.9899077025051,usgss,813
United States,1977,limjob2,2,542.994249614334,usgss,813
United States,1977,president2,1,306.99674886114275,usgss,813
United States,1977,president2,2,1176.9875355360425,usgss,813
United States,1977,tradroles4,1,274.997087742066,usgss,813
