country,year,item,r,n,survey,cc_rank
Japan,1981,sparent3,1,566.3474851195268,wvs_combo,171
Japan,1981,sparent3,2,406.2883842770015,wvs_combo,171
Japan,1981,sparent3,3,140.31176733186996,wvs_combo,171
Japan,1990,jobinde4,1,17.012912502191273,wvs_combo,171
Japan,1990,jobinde4,2,144.1093764891496,wvs_combo,171
Japan,1990,jobinde4,3,455.3455993233547,wvs_combo,171
Japan,1990,jobinde4,4,130.0987426638156,wvs_combo,171
Japan,1990,sparent3,1,430.32661034954396,wvs_combo,171
Japan,1990,sparent3,2,360.273441222874,wvs_combo,171
Japan,1990,sparent3,3,139.10557869438748,wvs_combo,171
Japan,1994,jobinde5,1,216.7134699050782,issp1994,171
Japan,1994,jobinde5,2,85.00399035069877,issp1994,171
Japan,1994,jobinde5,3,242.86854385913935,issp1994,171
Japan,1994,jobinde5,4,197.09716443953232,issp1994,171
Japan,1994,jobinde5,5,427.8222811057147,issp1994,171
Japan,1995,moneyprob4,1,66.05013089086023,wvs_combo,171
Japan,1995,moneyprob4,2,296.2248294499186,wvs_combo,171
Japan,1995,moneyprob4,3,333.2529331311585,wvs_combo,171
Japan,1995,moneyprob4,4,38.02886324019226,wvs_combo,171
Japan,1995,sparent3,1,469.35623314868866,wvs_combo,171
Japan,1995,sparent3,2,298.2263485678235,wvs_combo,171
Japan,1995,sparent3,3,237.1800154717254,wvs_combo,171
Japan,2000,help4,1,358,jgss,171
Japan,2000,help4,2,1010,jgss,171
Japan,2000,help4,3,1112,jgss,171
Japan,2000,help4,4,349,jgss,171
Japan,2000,jobinde4,1,108,jgss,171
Japan,2000,jobinde4,2,448,jgss,171
Japan,2000,jobinde4,3,1444,jgss,171
Japan,2000,jobinde4,4,842,jgss,171
Japan,2000,marrihap4,1,494,jgss,171
Japan,2000,marrihap4,2,1347,jgss,171
Japan,2000,marrihap4,3,693,jgss,171
Japan,2000,marrihap4,4,305,jgss,171
Japan,2000,sparent3,1,470.3569927076411,wvs_combo,171
Japan,2000,sparent3,2,536.4071235985014,wvs_combo,171
Japan,2000,sparent3,3,299.22710812677593,wvs_combo,171
Japan,2000,surname4,1,772,jgss,171
Japan,2000,surname4,2,764,jgss,171
Japan,2000,surname4,3,908,jgss,171
Japan,2000,surname4,4,400,jgss,171
Japan,2001,help4,1,331,jgss,171
Japan,2001,help4,2,957,jgss,171
Japan,2001,help4,3,1099,jgss,171
Japan,2001,help4,4,328,jgss,171
Japan,2001,jobinde4,1,88,jgss,171
Japan,2001,jobinde4,2,418,jgss,171
Japan,2001,jobinde4,3,1432,jgss,171
Japan,2001,jobinde4,4,793,jgss,171
Japan,2001,marrihap4,1,480,jgss,171
Japan,2001,marrihap4,2,1294,jgss,171
Japan,2001,marrihap4,3,658,jgss,171
Japan,2001,marrihap4,4,298,jgss,171
Japan,2001,surname4,1,793,jgss,171
Japan,2001,surname4,2,656,jgss,171
Japan,2001,surname4,3,878,jgss,171
Japan,2001,surname4,4,413,jgss,171
Japan,2002,help4,1,386,jgss,171
Japan,2002,help4,2,996,jgss,171
Japan,2002,help4,3,1090,jgss,171
Japan,2002,help4,4,434,jgss,171
Japan,2002,jobinde5,1,178.89278860588684,issp2002,171
Japan,2002,jobinde5,2,74.95507902481292,issp2002,171
Japan,2002,jobinde5,3,270.8376855429907,issp2002,171
Japan,2002,jobinde5,4,193.88380441084942,issp2002,171
Japan,2002,jobinde5,5,355.7867751044453,issp2002,171
Japan,2002,marrihap4,1,422,jgss,171
Japan,2002,marrihap4,2,1112,jgss,171
Japan,2002,marrihap4,3,879,jgss,171
Japan,2002,marrihap4,4,486,jgss,171
Japan,2002,surname4,1,799,jgss,171
Japan,2002,surname4,2,689,jgss,171
Japan,2002,surname4,3,980,jgss,171
Japan,2002,surname4,4,427,jgss,171
Japan,2003,help4,1,271,jgss,171
Japan,2003,help4,2,663,jgss,171
Japan,2003,help4,3,687,jgss,171
Japan,2003,help4,4,295,jgss,171
Japan,2003,marrihap4,1,301,jgss,171
Japan,2003,marrihap4,2,746,jgss,171
Japan,2003,marrihap4,3,571,jgss,171
Japan,2003,marrihap4,4,302,jgss,171
Japan,2003,surname4,1,552,jgss,171
Japan,2003,surname4,2,492,jgss,171
Japan,2003,surname4,3,638,jgss,171
Japan,2003,surname4,4,237,jgss,171
Japan,2005,beat10,1,12.009114707429134,wvs_combo,171
Japan,2005,beat10,2,3.0022786768572836,wvs_combo,171
Japan,2005,beat10,3,2.0015191179048557,wvs_combo,171
Japan,2005,beat10,4,4.003038235809711,wvs_combo,171
Japan,2005,beat10,5,8.006076471619423,wvs_combo,171
Japan,2005,beat10,6,36.0273441222874,wvs_combo,171
Japan,2005,beat10,7,25.018988973810696,wvs_combo,171
Japan,2005,beat10,8,64.04861177295538,wvs_combo,171
Japan,2005,beat10,9,114.08658972057677,wvs_combo,171
Japan,2005,beat10,10,798.6061280440374,wvs_combo,171
Japan,2005,help4,1,269,jgss2005,171
Japan,2005,help4,2,677,jgss2005,171
Japan,2005,help4,3,745,jgss2005,171
Japan,2005,help4,4,269,jgss2005,171
Japan,2005,marrihap4,1,293,jgss2005,171
Japan,2005,marrihap4,2,822,jgss2005,171
Japan,2005,marrihap4,3,566,jgss2005,171
Japan,2005,marrihap4,4,289,jgss2005,171
Japan,2005,sparent3,1,372.28255593030315,wvs_combo,171
Japan,2005,sparent3,2,447.33952285173524,wvs_combo,171
Japan,2005,sparent3,3,225.17090076429628,wvs_combo,171
Japan,2006,help4,1,193,jgss2006,171
Japan,2006,help4,2,685,jgss2006,171
Japan,2006,help4,3,872,jgss2006,171
Japan,2006,help4,4,310,jgss2006,171
Japan,2006,marrihap4,1,216,jgss2006,171
Japan,2006,marrihap4,2,732,jgss2006,171
Japan,2006,marrihap4,3,706,jgss2006,171
Japan,2006,marrihap4,4,405,jgss2006,171
Japan,2006,surname4,1,554,jgss2006,171
Japan,2006,surname4,2,645,jgss2006,171
Japan,2006,surname4,3,637,jgss2006,171
Japan,2006,surname4,4,261,jgss2006,171
Japan,2008,help4,1,172,jgss2008,171
Japan,2008,help4,2,699,jgss2008,171
Japan,2008,help4,3,869,jgss2008,171
Japan,2008,help4,4,278,jgss2008,171
Japan,2008,marrihap4,1,207,jgss2008,171
Japan,2008,marrihap4,2,729,jgss2008,171
Japan,2008,marrihap4,3,728,jgss2008,171
Japan,2008,marrihap4,4,341,jgss2008,171
Japan,2010,beat10,1,31.023546327525263,wvs_combo,171
Japan,2010,beat10,2,4.003038235809711,wvs_combo,171
Japan,2010,beat10,3,5.003797794762139,wvs_combo,171
Japan,2010,beat10,4,4.003038235809711,wvs_combo,171
Japan,2010,beat10,5,9.00683603057185,wvs_combo,171
Japan,2010,beat10,6,34.02582500438255,wvs_combo,171
Japan,2010,beat10,7,20.015191179048557,wvs_combo,171
Japan,2010,beat10,8,72.0546882445748,wvs_combo,171
Japan,2010,beat10,9,188.14279708305645,wvs_combo,171
Japan,2010,beat10,10,1970.4955715773303,wvs_combo,171
Japan,2010,help4,1,493,jgss2010,171
Japan,2010,help4,2,1664,jgss2010,171
Japan,2010,help4,3,1956,jgss2010,171
Japan,2010,help4,4,794,jgss2010,171
Japan,2010,marrihap4,1,550,jgss2010,171
Japan,2010,marrihap4,2,1866,jgss2010,171
Japan,2010,marrihap4,3,1606,jgss2010,171
Japan,2010,marrihap4,4,881,jgss2010,171
Japan,2012,help4,1,493,jgss2012,171
Japan,2012,help4,2,1510,jgss2012,171
Japan,2012,help4,3,1836,jgss2012,171
Japan,2012,help4,4,721,jgss2012,171
Japan,2012,marrihap4,1,504,jgss2012,171
Japan,2012,marrihap4,2,1595,jgss2012,171
Japan,2012,marrihap4,3,1582,jgss2012,171
Japan,2012,marrihap4,4,861,jgss2012,171
Japan,2015,help4,1,153,jgss2015,171
Japan,2015,help4,2,582,jgss2015,171
Japan,2015,help4,3,948,jgss2015,171
Japan,2015,help4,4,355,jgss2015,171
Japan,2015,marrihap4,1,188,jgss2015,171
Japan,2015,marrihap4,2,683,jgss2015,171
Japan,2015,marrihap4,3,749,jgss2015,171
Japan,2015,marrihap4,4,411,jgss2015,171
