country,year,item,r,n,survey,cc_rank
Germany,1994,msww5,1,972.7930124320752,"eb42, issp1994",86
Germany,1994,msww5,2,1044.7488449630812,"eb42, issp1994",86
Germany,1994,msww5,3,1007.632743663053,"eb42, issp1994",86
Germany,1994,msww5,4,1305.5115033580255,"eb42, issp1994",86
Germany,1994,msww5,5,705.5804833557265,"eb42, issp1994",86
Germany,1999,fatherchild4,1,76.83198861645259,evs_combo,86
Germany,1999,fatherchild4,2,437.61626263915525,evs_combo,86
Germany,1999,fatherchild4,3,1064.127603691318,evs_combo,86
Germany,1999,fatherchild4,4,376.9743559357048,evs_combo,86
Germany,1999,manchildren5,1,223.717827303607,evs_combo,86
Germany,1999,manchildren5,2,540.4299739687626,evs_combo,86
Germany,1999,manchildren5,3,386.7575806503654,evs_combo,86
Germany,1999,manchildren5,4,510.97973952172623,evs_combo,86
Germany,1999,manchildren5,5,299.4076297205292,evs_combo,86
Germany,2002,child5,1,20.987422126947614,issp2002,86
Germany,2002,child5,2,128.92273592267819,issp2002,86
Germany,2002,child5,3,233.85984655741626,issp2002,86
Germany,2002,child5,4,722.5669617991964,issp2002,86
Germany,2002,child5,5,164.9011738545884,issp2002,86
Germany,2002,house5a,1,44.973047414887745,issp2002,86
Germany,2002,house5a,2,190.88560124985688,issp2002,86
Germany,2002,house5a,3,264.8412792210056,issp2002,86
Germany,2002,house5a,4,619.6286532717867,issp2002,86
Germany,2002,house5a,5,166.89997596191674,issp2002,86
Germany,2004,chrespon5,1,26.176636628961806,ess2,86
Germany,2004,chrespon5,2,159.64633327407876,ess2,86
Germany,2004,chrespon5,3,336.5692567233243,ess2,86
Germany,2004,chrespon5,4,1611.609811797835,ess2,86
Germany,2004,chrespon5,5,691.3862086904988,ess2,86
Germany,2008,chrespon4,1,19.40719282395348,evs_combo,86
Germany,2008,chrespon4,2,193.2782001046291,evs_combo,86
Germany,2008,chrespon4,3,1034.4421971009806,evs_combo,86
Germany,2008,chrespon4,4,774.0119414180417,evs_combo,86
Germany,2008,fatherchild4,1,91.66964325023156,evs_combo,86
Germany,2008,fatherchild4,2,434.79892442309364,evs_combo,86
Germany,2008,fatherchild4,3,934.8443322814142,evs_combo,86
Germany,2008,fatherchild4,4,510.092285824792,evs_combo,86
Germany,2008,manchildren5,1,239.64749813103668,evs_combo,86
Germany,2008,manchildren5,2,523.8829568385725,evs_combo,86
Germany,2008,manchildren5,3,463.02724840859713,evs_combo,86
Germany,2008,manchildren5,4,546.6816032193841,evs_combo,86
Germany,2008,manchildren5,5,217.8705255843816,evs_combo,86
Germany,2009,mancare4,1,137.36940301145884,eb722,86
Germany,2009,mancare4,2,538.0127167807826,eb722,86
Germany,2009,mancare4,3,522.2846070705258,eb722,86
Germany,2009,mancare4,4,185.61553600029833,eb722,86
Germany,2012,equalroles4,1,161.21211852044183,allbus,86
Germany,2012,equalroles4,2,452.7143308043652,allbus,86
Germany,2012,equalroles4,3,480.6838984382153,allbus,86
Germany,2012,equalroles4,4,644.4711927595553,allbus,86
Germany,2012,fatherwork4a,1,857.1457503922694,allbus,86
Germany,2012,fatherwork4a,2,511.62605569120853,allbus,86
Germany,2012,fatherwork4a,3,285.4306247531008,allbus,86
Germany,2012,fatherwork4a,4,85.53495340565448,allbus,86
Germany,2012,fatherwork4b,1,384.5782080809573,allbus,86
Germany,2012,fatherwork4b,2,589.7004966896154,allbus,86
Germany,2012,fatherwork4b,3,482.11870162304444,allbus,86
Germany,2012,fatherwork4b,4,281.5671865559425,allbus,86
Germany,2012,msww4,1,36.50114930571123,allbus,86
Germany,2012,msww4,2,93.45095634992602,allbus,86
Germany,2012,msww4,3,499.23664913852747,allbus,86
Germany,2012,msww4,4,1113.0746343935443,allbus,86
Germany,2012,secondshift4,1,179.47275942131395,allbus,86
Germany,2012,secondshift4,2,372.20002816095274,allbus,86
Germany,2012,secondshift4,3,668.2159090453517,allbus,86
Germany,2012,secondshift4,4,516.861578815777,allbus,86
Germany,2016,equalroles4,1,195.23195074651926,allbus,86
Germany,2016,equalroles4,2,558.6021545723501,allbus,86
Germany,2016,equalroles4,3,498.92313761128736,allbus,86
Germany,2016,equalroles4,4,479.1675841800122,allbus,86
Germany,2016,fatherwork4a,1,759.9056891464846,allbus,86
Germany,2016,fatherwork4a,2,539.8595341931001,allbus,86
Germany,2016,fatherwork4a,3,352.7688324760989,allbus,86
Germany,2016,fatherwork4a,4,77.81819921727532,allbus,86
Germany,2016,fatherwork4b,1,340.7085338971435,allbus,86
Germany,2016,fatherwork4b,2,642.9845926305406,allbus,86
Germany,2016,fatherwork4b,3,523.7097187927276,allbus,86
Germany,2016,fatherwork4b,4,233.55078106227901,allbus,86
Germany,2016,msww4,1,38.22264690530674,allbus,86
Germany,2016,msww4,2,96.8100088414247,allbus,86
Germany,2016,msww4,3,509.7562367683852,allbus,86
Germany,2016,msww4,4,1088.2056900710709,allbus,86
Germany,2016,secondshift4,1,111.4907354246824,allbus,86
Germany,2016,secondshift4,2,310.9623470888159,allbus,86
Germany,2016,secondshift4,3,721.9046084606522,allbus,86
Germany,2016,secondshift4,4,582.984964301301,allbus,86
Spain,1994,msww5,1,313.31867892735306,"eb42, issp1994",49
Spain,1994,msww5,2,892.2565096066812,"eb42, issp1994",49
Spain,1994,msww5,3,422.5184344495585,"eb42, issp1994",49
Spain,1994,msww5,4,1160.9423682449649,"eb42, issp1994",49
Spain,1994,msww5,5,467.44963903842745,"eb42, issp1994",49
Spain,1999,fatherchild4,1,50.09953588356508,evs_combo,49
Spain,1999,fatherchild4,2,249.49568870015412,evs_combo,49
Spain,1999,fatherchild4,3,608.2083656264801,evs_combo,49
Spain,1999,fatherchild4,4,249.49568870015412,evs_combo,49
Spain,1999,manchildren5,1,117.23291396754229,evs_combo,49
Spain,1999,manchildren5,2,291.5792988423488,evs_combo,49
Spain,1999,manchildren5,3,318.63304821947395,evs_combo,49
Spain,1999,manchildren5,4,342.68082544358515,evs_combo,49
Spain,1999,manchildren5,5,72.14333167233372,evs_combo,49
Spain,2003,child5,1,1.9988021073283442,issp2002,49
Spain,2003,child5,2,93.94369904443218,issp2002,49
Spain,2003,child5,3,129.92213697634236,issp2002,49
Spain,2003,child5,4,1504.098585764579,issp2002,49
Spain,2003,child5,5,705.5771438869054,issp2002,49
Spain,2003,house5a,1,5.996406321985033,issp2002,49
Spain,2003,house5a,2,120.92752749336482,issp2002,49
Spain,2003,house5a,3,148.91075699596163,issp2002,49
Spain,2003,house5a,4,1474.1165541546538,issp2002,49
Spain,2003,house5a,5,692.5849301892713,issp2002,49
Spain,2004,chrespon5,1,49.70865945436116,ess2,49
Spain,2004,chrespon5,2,104.88434744387922,ess2,49
Spain,2004,chrespon5,3,142.2602425273735,ess2,49
Spain,2004,chrespon5,4,765.9206977232842,ess2,49
Spain,2004,chrespon5,5,567.4436617723427,ess2,49
Spain,2006,chrespon3,1,166.13168480806172,lb2006,49
Spain,2006,chrespon3,2,2274.803129932074,lb2006,49
Spain,2006,chrespon3,3,2.001586563952551,lb2006,49
Spain,2008,chrespon4,1,10.167618491323845,evs_combo,49
Spain,2008,chrespon4,2,91.57239738145392,evs_combo,49
Spain,2008,chrespon4,3,562.7247926069346,evs_combo,49
