country,year,item,r,n,survey,cc_rank
United States,1972,earn2,1,545.9944273107695,usgss,659
United States,1972,earn2,2,1030.9894772113616,usgss,659
United States,1972,poliwork7,1,479.2946947090207,anes_combo,659
United States,1972,poliwork7,2,112.88777240651585,anes_combo,659
United States,1972,poliwork7,3,154.02484201228012,anes_combo,659
United States,1972,poliwork7,4,497.47153941854447,anes_combo,659
United States,1972,poliwork7,5,168.37498257243044,anes_combo,659
United States,1972,poliwork7,6,225.7755448130317,anes_combo,659
United States,1972,poliwork7,7,795.9544630696711,anes_combo,659
United States,1972,president2,1,403.9958766182251,usgss,659
United States,1972,president2,2,1128.9884769850894,usgss,659
United States,1974,earn2,1,446.9954377434322,usgss,659
United States,1974,earn2,2,1001.989773196687,usgss,659
United States,1974,emopoli2,1,327.99665230390553,usgss,659
United States,1974,emopoli2,2,369.99622363550316,usgss,659
United States,1974,emopoli3,1,237.9975708790534,usgss,659
United States,1974,emopoli3,2,30.99968360189351,usgss,659
United States,1974,emopoli3,3,449.9954071242606,usgss,659
United States,1974,homecountry2,1,508.9948049472192,usgss,659
United States,1974,homecountry2,2,921.9905897079295,usgss,659
United States,1974,poliwork7,1,323.35650062205417,anes_combo,659
United States,1974,poliwork7,2,119.58450466791939,anes_combo,659
United States,1974,poliwork7,3,171.24501068446042,anes_combo,659
United States,1974,poliwork7,4,425.7208366177933,anes_combo,659
United States,1974,poliwork7,5,197.07526369273108,anes_combo,659
United States,1974,poliwork7,6,222.90551670100166,anes_combo,659
United States,1974,poliwork7,7,773.9509142107754,anes_combo,659
United States,1974,president2,1,282.99711159147944,usgss,659
United States,1974,president2,2,1149.9882626508881,usgss,659
United States,1975,earn2,1,422.995682696805,usgss,659
United States,1975,earn2,2,1038.9893955602372,usgss,659
United States,1975,emopoli2,1,709.9927534627224,usgss,659
United States,1975,emopoli2,2,718.9926616052076,usgss,659
United States,1975,homecountry2,1,514.9947437088761,usgss,659
United States,1975,homecountry2,2,930.9904978504147,usgss,659
United States,1975,president2,1,281.99712179786997,usgss,659
United States,1975,president2,2,1157.988180999764,usgss,659
United States,1976,poliwork7,1,240.12568537318208,anes_combo,659
United States,1976,poliwork7,2,105.7127021264407,anes_combo,659
United States,1976,poliwork7,3,170.76667266578883,anes_combo,659
United States,1976,poliwork7,4,408.50066794561246,anes_combo,659
United States,1976,poliwork7,5,188.94351737531264,anes_combo,659
United States,1976,poliwork7,6,264.9992623441093,anes_combo,659
United States,1976,poliwork7,7,694.0684650926039,anes_combo,659
United States,1977,earn2,1,506.9948253600003,usgss,659
United States,1977,earn2,2,998.9898038158586,usgss,659
United States,1977,emopoli2,1,716.9926820179886,usgss,659
United States,1977,emopoli2,2,736.992477890178,usgss,659
United States,1977,homecountry2,1,568.9941925637874,usgss,659
United States,1977,homecountry2,2,920.9905999143201,usgss,659
United States,1977,limjob2,1,952.990273309823,usgss,659
United States,1977,limjob2,2,542.9944579299412,usgss,659
United States,1977,president2,1,306.99686663810667,usgss,659
United States,1977,president2,2,1176.9879870783438,usgss,659
United States,1977,tradroles4,1,274.9971932426037,usgss,659
United States,1977,tradroles4,2,713.9927126371601,usgss,659
United States,1977,tradroles4,3,421.9956929031955,usgss,659
United States,1977,tradroles4,4,91.99906101207107,usgss,659
United States,1978,earn2,1,401.99589703100617,usgss,659
United States,1978,earn2,2,1106.988701525681,usgss,659
United States,1978,emopoli2,1,642.993437290888,usgss,659
United States,1978,emopoli2,2,824.9915797278111,usgss,659
United States,1978,homecountry2,1,472.9951723772784,usgss,659
United States,1978,homecountry2,2,1008.9897017519532,usgss,659
United States,1978,poliwork7,1,214.29543236491145,anes_combo,659
United States,1978,poliwork7,2,108.10439221979908,anes_combo,659
United States,1978,poliwork7,3,146.37143371353326,anes_combo,659
United States,1978,poliwork7,4,356.8401619290713,anes_combo,659
United States,1978,poliwork7,5,171.24501068446048,anes_combo,659
United States,1978,poliwork7,6,227.6888968877184,anes_combo,659
United States,1978,poliwork7,7,837.0915326754354,anes_combo,659
United States,1978,president2,1,274.9971932426037,usgss,659
United States,1978,president2,2,1216.9875788227225,usgss,659
